name,debut_year,members,gender,genre,city,region,popularity,image,track_title,track_link,track_cover
АукцЫон,1986,8,Мужской,Рок,Санкт-Петербург,Северо-Западный,1120770,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Auctyon_Concert_2009_July_SPb_01.JPG/330px-Auctyon_Concert_2009_July_SPb_01.JPG,Дорога,https://music.yandex.ru/track/2781646,
Найк Борзов,1992,1,Мужской,Инди,Видное,Центральный,1075463,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/IGP4830_%D0%BD%D0%B0%D0%B9%D0%BA_%D0%B1%D0%BE%D1%80%D0%B7%D0%BE%D0%B2_%2814485245615%29.jpg/330px-IGP4830_%D0%BD%D0%B0%D0%B9%D0%BA_%D0%B1%D0%BE%D1%80%D0%B7%D0%BE%D0%B2_%2814485245615%29.jpg,Лошадка,https://music.yandex.ru/album/10527,
Валерия,1992,1,Женский,Поп,Аткарск,Приволжский,1075158,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Valeriya_6016.jpg/330px-Valeriya_6016.jpg,Часики,https://music.yandex.ru/album/950939/track/27211503,
СЛОТ,2003,5,Смешанный,Метал,Москва,Центральный,1014674,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/%D0%93%D1%80%D1%83%D0%BF%D0%BF%D0%B0_%D0%A1%D0%BB%D0%BE%D1%82_2018.jpg/330px-%D0%93%D1%80%D1%83%D0%BF%D0%BF%D0%B0_%D0%A1%D0%BB%D0%BE%D1%82_2018.jpg,Ангел или демон,https://music.yandex.ru/search?text=%D0%A1%D0%9B%D0%9E%D0%A2%20%D0%90%D0%BD%D0%B3%D0%B5%D0%BB%20%D0%B8%D0%BB%D0%B8%20%D0%B4%D0%B5%D0%BC%D0%BE%D0%BD,
Красная плесень,1991,3,Мужской,Панк,Ялта,Южный,1012695,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/%D0%9A%D1%80%D0%B0%D1%81%D0%BD%D0%B0%D1%8F_%D0%9F%D0%BB%D0%B5%D1%81%D0%B5%D0%BD%D1%8C%2C_%D0%A1%D0%9F%D0%91%2C_%D0%9B%D0%B0%D1%81%D1%82%D0%BE%D1%87%D0%BA%D0%B0%2C_06-01-2023.jpg/330px-%D0%9A%D1%80%D0%B0%D1%81%D0%BD%D0%B0%D1%8F_%D0%9F%D0%BB%D0%B5%D1%81%D0%B5%D0%BD%D1%8C%2C_%D0%A1%D0%9F%D0%91%2C_%D0%9B%D0%B0%D1%81%D1%82%D0%BE%D1%87%D0%BA%D0%B0%2C_06-01-2023.jpg,"Слева молот, справа серп",https://music.yandex.ru/search?text=Красная%20плесень%20Слева%20молот%20справа%20серп,
Паша Техник,2002,1,Мужской,Рэп/Хип-хоп,Москва,Центральный,966105,https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Pasha_Tehni_2019_%28edited%29.jpg/330px-Pasha_Tehni_2019_%28edited%29.jpg,Демоны,https://music.yandex.ru/search?text=Паша%20Техник%20Демоны,
Верка Сердючка,1997,1,Женский,Поп,Полтава,Украина,949659,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/%D0%92%D1%94%D1%80%D0%BA%D0%B0_%D0%A1%D0%B5%D1%80%D0%B4%D1%8E%D1%87%D0%BA%D0%B0.jpg/330px-%D0%92%D1%94%D1%80%D0%BA%D0%B0_%D0%A1%D0%B5%D1%80%D0%B4%D1%8E%D1%87%D0%BA%D0%B0.jpg,Dancing Lasha Tumbai,https://music.yandex.ru/search?text=Верка%20Сердючка%20Dancing%20Lasha%20Tumbai,
Тони Раут,2010,1,Мужской,Рэп/Хип-хоп,Санкт-Петербург,Северо-Западный,906908,,300,https://music.yandex.ru/search?text=%D0%A2%D0%BE%D0%BD%D0%B8%20%D0%A0%D0%B0%D1%83%D1%82%20300,
Машина времени,1969,5,Мужской,Рок,Москва,Центральный,901460,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/%D0%9C%D0%B0%D1%88%D0%B8%D0%BD%D0%B0%D0%92%D1%80%D0%B5%D0%BC%D0%B5%D0%BD%D0%B82024.jpg/330px-%D0%9C%D0%B0%D1%88%D0%B8%D0%BD%D0%B0%D0%92%D1%80%D0%B5%D0%BC%D0%B5%D0%BD%D0%B82024.jpg,Поворот,https://music.yandex.ru/search?text=Машина%20времени%20Поворот,
Лариса Долина,1985,1,Женский,Джаз,Одесса,Украина,777470,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/%D0%9B%D0%B0%D1%80%D0%B8%D1%81%D0%B0_%D0%94%D0%BE%D0%BB%D0%B8%D0%BD%D0%B0_%28%D0%91%D0%B5%D0%BB%D1%8B%D0%B5_%D0%BD%D0%BE%D1%87%D0%B8_%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B0_-_2024%2C_%D0%B4%D0%B5%D0%BD%D1%8C_2%29_%28cropped%29.jpg/330px-%D0%9B%D0%B0%D1%80%D0%B8%D1%81%D0%B0_%D0%94%D0%BE%D0%BB%D0%B8%D0%BD%D0%B0_%28%D0%91%D0%B5%D0%BB%D1%8B%D0%B5_%D0%BD%D0%BE%D1%87%D0%B8_%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B0_-_2024%2C_%D0%B4%D0%B5%D0%BD%D1%8C_2%29_%28cropped%29.jpg,Погода в доме,https://music.yandex.ru/search?text=Лариса%20Долина%20Погода%20в%20доме,
Louna,2010,5,Смешанный,Рок,Москва,Центральный,745841,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Louna_band.jpg/330px-Louna_band.jpg,Чистый лист,https://music.yandex.ru/search?text=Louna%20Чистый%20лист,
IC3PEAK,2014,2,Смешанный,Электроника,Москва,Центральный,723808,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Ic3peak_logo.png/330px-Ic3peak_logo.png,Смерти больше нет,https://music.yandex.ru/search?text=IC3PEAK%20Смерти%20больше%20нет,
Технология,1990,4,Мужской,Электроника,Москва,Центральный,689572,https://upload.wikimedia.org/wikipedia/commons/5/51/%D0%93%D1%80%D1%83%D0%BF%D0%BF%D0%B0_%D0%A2%D0%B5%D1%85%D0%BD%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F.jpg,Нажми на кнопку,https://music.yandex.ru/track/26524699,
Пелагея,1999,1,Женский,Фолк,Новосибирск,Сибирский,671278,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/%D0%9A%D0%BE%D0%BD%D1%86%D0%B5%D1%80%D1%82_%D0%9A%D1%80%D0%BE%D0%BA%D1%83%D1%81_%D1%81%D0%B8%D1%82%D0%B8_P0716v.jpg/330px-%D0%9A%D0%BE%D0%BD%D1%86%D0%B5%D1%80%D1%82_%D0%9A%D1%80%D0%BE%D0%BA%D1%83%D1%81_%D1%81%D0%B8%D1%82%D0%B8_P0716v.jpg,"Ой, то не вечер",https://music.yandex.ru/search?text=Пелагея%20Ой%20то%20не%20вечер,
Егор Летов,1990,1,Мужской,Панк,Омск,Сибирский,604008,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Egor_Letov_Nature_%28cropped%29.jpg/330px-Egor_Letov_Nature_%28cropped%29.jpg,Про дурачка,https://music.yandex.ru/search?text=Егор%20Летов%20Про%20дурачка,
Гражданская оборона,1985,4,Мужской,Панк,Омск,Сибирский,583943,https://upload.wikimedia.org/wikipedia/commons/2/2e/Egor_Letov_2000-11-04_Nuernberg.jpg,Всё идёт по плану,https://music.yandex.ru/search?text=Гражданская%20оборона%20Всё%20идёт%20по%20плану,
Линда,1993,1,Женский,Поп,Москва,Центральный,539897,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/%D0%9B%D0%B8%D0%BD%D0%B4%D0%B0_%D0%BD%D0%B0_%D0%BA%D0%BE%D0%BD%D1%86%D0%B5%D1%80%D1%82%D0%B5_%D0%B2_%D0%BA%D0%BB%D1%83%D0%B1%D0%B5_%22Red%22.jpg/330px-%D0%9B%D0%B8%D0%BD%D0%B4%D0%B0_%D0%BD%D0%B0_%D0%BA%D0%BE%D0%BD%D1%86%D0%B5%D1%80%D1%82%D0%B5_%D0%B2_%D0%BA%D0%BB%D1%83%D0%B1%D0%B5_%22Red%22.jpg,Ворона,https://music.yandex.ru/search?text=Линда%20Ворона,
Мельница,2003,5,Смешанный,Фолк,Москва,Центральный,518278,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Helavisa4.jpg/330px-Helavisa4.jpg,Ночная кобыла,https://music.yandex.ru/search?text=Мельница%20Ночная%20кобыла,
Пилот,1997,4,Мужской,Рок,Санкт-Петербург,Северо-Западный,514364,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/%D0%92%D1%8B%D1%81%D1%82%D1%83%D0%BF%D0%BB%D0%B5%D0%BD%D0%B8%D0%B5_%D0%B3%D1%80%D1%83%D0%BF%D0%BF%D1%8B_%C2%AB%D0%9F%D0%B8%D0%BB%D0%BE%D1%82%C2%BB_%D0%BD%D0%B0_%D1%80%D0%BE%D0%BA-%D1%84%D0%B5%D1%81%D1%82%D0%B8%D0%B2%D0%B0%D0%BB%D0%B5_%C2%AB%D0%9E%D1%81%D1%82%D1%80%D0%BE%D0%B2%C2%BB_%D0%B2_2013_%D0%B3%D0%BE%D0%B4%D1%83.jpg/330px-%D0%92%D1%8B%D1%81%D1%82%D1%83%D0%BF%D0%BB%D0%B5%D0%BD%D0%B8%D0%B5_%D0%B3%D1%80%D1%83%D0%BF%D0%BF%D1%8B_%C2%AB%D0%9F%D0%B8%D0%BB%D0%BE%D1%82%C2%BB_%D0%BD%D0%B0_%D1%80%D0%BE%D0%BA-%D1%84%D0%B5%D1%81%D1%82%D0%B8%D0%B2%D0%B0%D0%BB%D0%B5_%C2%AB%D0%9E%D1%81%D1%82%D1%80%D0%BE%D0%B2%C2%BB_%D0%B2_2013_%D0%B3%D0%BE%D0%B4%D1%83.jpg,Неродина,https://music.yandex.ru/search?text=%D0%9F%D0%B8%D0%BB%D0%BE%D1%82%20%D0%9D%D0%B5%D1%80%D0%BE%D0%B4%D0%B8%D0%BD%D0%B0,
Олег Митяев,1990,1,Мужской,Авторская песня,Челябинск,Уральский,475341,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/%D0%9E%D1%84%D0%B8%D1%86%D0%B8%D0%B0%D0%BB%D1%8C%D0%BD%D0%B0%D1%8F_%D1%84%D0%BE%D1%82%D0%BE%D0%B3%D1%80%D0%B0%D1%84%D0%B8%D1%8F.jpg/330px-%D0%9E%D1%84%D0%B8%D1%86%D0%B8%D0%B0%D0%BB%D1%8C%D0%BD%D0%B0%D1%8F_%D1%84%D0%BE%D1%82%D0%BE%D0%B3%D1%80%D0%B0%D1%84%D0%B8%D1%8F.jpg,"Как здорово, что все мы здесь сегодня собрались",https://music.yandex.ru/search?text=Олег%20Митяев%20Как%20здорово%2C%20что%20все%20мы%20здесь%20сегодня%20собрались,
Нейромонах Феофан,2009,1,Мужской,Электроника,Санкт-Петербург,Северо-Западный,459339,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/%D0%9D%D0%B5%D0%B9%D1%80%D0%BE%D0%BC%D0%BE%D0%BD%D0%B0%D1%85_%D0%A4%D0%B5%D0%BE%D1%84%D0%B0%D0%BD.jpg/330px-%D0%9D%D0%B5%D0%B9%D1%80%D0%BE%D0%BC%D0%BE%D0%BD%D0%B0%D1%85_%D0%A4%D0%B5%D0%BE%D1%84%D0%B0%D0%BD.jpg,Притоптать,https://music.yandex.ru/album/2807653,
Тараканы!,1992,4,Мужской,Панк,Москва,Центральный,447363,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Tarakany%21_Kubana_2012_5.jpg/330px-Tarakany%21_Kubana_2012_5.jpg,Я смотрю на них,https://music.yandex.ru/search?text=Тараканы!%20Я%20смотрю%20на%20них,
Лев Лещенко,1971,1,Мужской,Эстрада,Москва,Центральный,431268,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/%D0%9B%D0%B5%D0%B2_%D0%9B%D0%B5%D1%89%D0%B5%D0%BD%D0%BA%D0%BE_%2829-03-2026%29_%28cropped%29.jpg/330px-%D0%9B%D0%B5%D0%B2_%D0%9B%D0%B5%D1%89%D0%B5%D0%BD%D0%BA%D0%BE_%2829-03-2026%29_%28cropped%29.jpg,День Победы,https://music.yandex.ru/search?text=Лев%20Лещенко%20День%20Победы,
Элизиум,1996,6,Мужской,Панк,Нижний Новгород,Приволжский,413408,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/%D0%AD%D0%BB%D0%B8%D0%B7%D0%B8%D1%83%D0%BC_07.03.2020_%D0%A1%D0%B0%D0%BC%D0%B0%D1%80%D0%B0.jpg/330px-%D0%AD%D0%BB%D0%B8%D0%B7%D0%B8%D1%83%D0%BC_07.03.2020_%D0%A1%D0%B0%D0%BC%D0%B0%D1%80%D0%B0.jpg,Острова,https://music.yandex.ru/search?text=%D0%AD%D0%BB%D0%B8%D0%B7%D0%B8%D1%83%D0%BC%20%D0%9E%D1%81%D1%82%D1%80%D0%BE%D0%B2%D0%B0,
Big Russian Boss,2013,1,Мужской,Рэп/Хип-хоп,Самара,Приволжский,406831,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Big_Russian_Boss_%D0%BD%D0%B0_VK_Fest_2018.jpg/330px-Big_Russian_Boss_%D0%BD%D0%B0_VK_Fest_2018.jpg,Доброе Утро,https://music.yandex.ru/search?text=Big%20Russian%20Boss%20Доброе%20Утро,
Монеточка,2016,1,Женский,Инди,Екатеринбург,Уральский,400000,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/%D0%9C%D0%BE%D0%BD%D0%B5%D1%82%D0%BE%D1%87%D0%BA%D0%B0_%28%D0%BA%D0%BE%D0%BD%D1%86%D0%B5%D1%80%D1%82_%D0%9C%D0%BE%D0%BD%D0%B5%D1%82%D0%BE%D1%87%D0%BA%D0%B8_%D0%B2_%D0%902%29_2019_%28cropped%29.jpg/330px-%D0%9C%D0%BE%D0%BD%D0%B5%D1%82%D0%BE%D1%87%D0%BA%D0%B0_%28%D0%BA%D0%BE%D0%BD%D1%86%D0%B5%D1%80%D1%82_%D0%9C%D0%BE%D0%BD%D0%B5%D1%82%D0%BE%D1%87%D0%BA%D0%B8_%D0%B2_%D0%902%29_2019_%28cropped%29.jpg,Каждый раз,https://music.yandex.ru/search?text=Монеточка%20Каждый%20раз,
